 # sweep    Energy    eta
         337  -695.57157103054556        7.9482503390009659E-002
         338  -693.95876165165305        8.1419189779385032E-002
         339  -688.87131743192833        8.4961955758660904E-002
         340  -685.40006433236897        8.3867701912208450E-002
         341  -697.67088186385774        9.2516655480279889E-002
         342  -696.44578056180126        8.8004563900141303E-002
         343  -694.58806571006801        8.5277203780919145E-002
         344  -694.79034629119292        8.5752285720227653E-002
         345  -692.30100717550226        8.6230014355711107E-002
         346  -692.45784247950098        8.3557649516762755E-002
         347  -690.57629752707601        8.8004563900141289E-002
         348  -699.80688659920486        8.8494840047012718E-002
         349  -703.05251164749063        9.0651122812894280E-002
         350  -709.38633419594032        8.8658871644854073E-002
         351  -707.19354932746569        8.5119433825988036E-002
         352  -706.59051172263753        7.3807678075792651E-002
         353  -701.61084425827460        7.6309395276534589E-002
         354  -706.82539066084837        7.8895908383551497E-002
         355  -702.42082932639937        7.7879781218785041E-002
         356  -696.23761096756277        7.5466199468287656E-002
         357  -693.40958248654590        7.5886623999182737E-002
         358  -698.24335313942674        7.9925288582493023E-002
         359  -699.85303437869129        8.2634362684726098E-002
         360  -693.60020829078576        8.1570086698968897E-002
         361  -691.08244353407406        8.6710388927168522E-002
         362  -691.84781261506794        8.8823191404321003E-002
         363  -693.45948855547090        8.8494824222903570E-002
         364  -690.56439056692147        8.4178879713353957E-002
         365  -687.14516552231396        8.5435255979794650E-002
         366  -690.28721114221946        8.5119413531935945E-002
         367  -685.64224526186456        7.8749925583041600E-002
         368  -685.18661850665580        7.6309377082959137E-002
         369  -685.27610295013199        8.1872749323406671E-002
         370  -696.06649889525124        7.8604226953185155E-002
         371  -699.61517819540245        7.6168193817021168E-002
         372  -703.20869883662419        7.8749920889180397E-002
         373  -702.50357551314994        7.6309372534565961E-002
         374  -695.93059988746143        7.6027267228747267E-002
         375  -702.40294787208052        7.7879762650800446E-002
         376  -705.59196188955707        8.1268518720971947E-002
         377  -711.01473788649446        8.3248723512953718E-002
         378  -705.52624231972766        7.9188634413643932E-002
         379  -704.47476844606024        7.8168737131046204E-002
         380  -700.26357077031037        8.0818272780172007E-002
         381  -700.27441032556158        7.5466176977610933E-002
         382  -703.22980860220230        7.8749911501458852E-002
         383  -707.73260436061992        7.0861095540161234E-002
         384  -708.30180323012530        7.6734480687491308E-002
         385  -710.87156010499484        7.8604208212479293E-002
         386  -710.33536278920940        8.2787501856037699E-002
         387  -705.73260056712820        8.6389806741157912E-002
         388  -705.64218183699575        8.6871087025963176E-002
         389  -704.51199243442977        8.2634333132380375E-002
         390  -703.90863136487042        8.3867656922079217E-002
         391  -698.57910213702723        8.9152745135132397E-002
         392  -705.69286577251512        8.2481442876499930E-002
         393  -701.67378044259806        8.6070430319585958E-002
         394  -698.55319453622121        8.7355038124585185E-002
         395  -700.18679634023442        9.2004048451507642E-002
         396  -705.03191431837149        8.5911187708550149E-002
         397  -706.78792339396932        8.5593585806230874E-002
         398  -712.34625849496581        8.4491196982153238E-002
         399  -709.89958786933778        8.8167634183601032E-002
         400  -704.74772694918147        8.3867646924276021E-002
         401  -704.15655463284986        7.8313609877542489E-002
         402  -706.74212108822371        7.5886583290436252E-002
         403  -705.39045604628427        7.9925245707238621E-002
         404  -712.21563708632880        8.0370511722618929E-002
         405  -710.45788299047570        8.0818258328739970E-002
         406  -704.93093078344111        8.5119383090866946E-002
         407  -707.72986654517013        8.6389796442691028E-002
         408  -702.28777179545943        8.8494787299993327E-002
         409  -703.52490332755315        8.9815578819743030E-002
         410  -707.76420177859700        8.5435220333435480E-002
         411  -708.60457383740106        8.3557599712537345E-002
         412  -702.27975615306616        8.3248698702904425E-002
         413  -693.73989232851523        7.9925245707238579E-002
         414  -694.34455892659150        7.4632289580448860E-002
         415  -699.81115082140718        8.1570047803329812E-002
         416  -698.41640190298551        8.4334871151997934E-002
